REF_ID,author,year,journal,pages,DOI,reference
Lowe_1999_pedo_p808-817,Lowe,1999,pedo,p808-817,na,"Lowe, C. N. and K. R. Butt. 1999. Interspecific interactions between earthworms: A laboratory-based investigation. Pedobiologia 43:808-817."
Lowe_2002_bfs_p204-209,Lowe,2002,bfs,p204-209,10.1007/s00374-002-0471-7,"Lowe, C. N. and K. R. Butt. 2002. Growth of hatchling earthworms in the presence of adults: interactions in laboratory culture. Biology and Fertility of Soils 35:204-209."
Lowe_2002_ejsb_p173-176,Lowe,2002,ejsb,p173-176,10.1016/s1164-5563(02)01141-x,"Lowe, C. N. and K. R. Butt. 2002. Influence of organic matter on earthworm production and behaviour: a laboratory-based approach with applications for soil restoration. European Journal of Soil Biology 38:173-176."
Lowe_2003_pedo_p574-577,Lowe,2003,pedo,p574-577,10.1078/0031-4056-00231,"Lowe, C. N. and C. M. Bull. 2003. Influence of food particle size on inter- and intra-specific interactions of Allolobophora chlorotica (Savigny) and Lumbricus terrestris. Pedobiologia 47:574-577."
Lowe_2007_bfs_p495-499,Lowe,2007,bfs,p495-499,10.1007/s00374-006-0154-x,"Lowe, C. and K. Butt. 2007. Life-cycle traits of the dimorphic earthworm species Allolobophora chlorotica (Savigny, 1826) under controlled laboratory conditions. Biology and Fertility of Soils 43:495-499."
Lowe_2008_ejsb_p541-544,Lowe,2008,ejsb,p541-544,10.1016/j.ejsobi.2008.08.002,"Lowe, C. N. and K. R. Butt. 2008. Life cycle traits of the parthenogenetic earthworm Octolasion cyaneum (Savigny, 1826). European Journal of Soil Biology 44:541-544."
Maboeta_1999_bfs_p113-116,Maboeta,1999,bfs,p113-116,10.1007/s003740050596,"Maboeta, M. S., A. J. Reinecke, and S. A. Reinecke. 1999. The effects of low lead levels on the growth and reproduction of the African earthworm Eudrilus eugeniae (Oligochaeta). Biology and Fertility of Soils 30:113-116."
Maboeta_1999_ees_p236-240,Maboeta,1999,ees,p236-240,10.1006/eesa.1999.1797,"Maboeta, M. S., A. J. Reinecke, and S. A. Reinecke. 1999. Effects of Low Levels of Lead on Growth and Reproduction of the Asian Earthworm Perionyx excavatus (Oligochaeta). Ecotoxicology and Environmental Safety 44:236-240."
Manaf_2009_ijb_p81-91,Manaf,2009,ijb,p81-91,10.5539/ijb.v1n1p81,"Manaf, L. A., M. L. C. Jusoh, M. K. Yusoff, T. H. T. Ismail, R. Harun, and H. Juahir. 2009. Influences of Bedding Material in Vermicomposting Process. International JOurnal of Biology 1:81-91."
Mccredie_1992_bfs_p285-289,Mccredie,1992,bfs,p285-289,10.1007/bf00336045,"McCredie, T. A., C. A. Parker, and I. Abbott. 1992. Population dynamics of the earthworm Aporrectodea trapezoides (Annelida: Lumbricidae) in a Western Australian pasture soil. Biology and Fertility of Soils 12:285-289."
Michon_1954_PhD_p192,Michon,1954,PhD,p192,na,"Michon, J. 1954. Contribution expérimentale à l'étude de la Biologie des Lumbricidae. Les variations pondérales au cours des différentes modalités du développement postembryonnaire. Faculté des sciences de Poitiers, Poitiers."
Monroy_2007_crass_p389-391,Monroy,2007,crass,p389-391,10.1016/j.crvi.2007.03.016,"Monroy, F., M. Aira, J. A. Gago, and J. Dominguez. 2007. Life cycle of the earthworm Octodrilus complanatus (Oligochaeta, Lumbricidae). Comptes Rendus Biologies 330:389-391."
Mulder_2007_age_p229-231,Mulder,2007,age,p229-231,10.1007/s11357-007-9037-9,"Mulder, C., R. Baerselman, and L. Posthuma. 2007. Empirical maximum lifespan of earthworms is twice that of mice. AGE 29:229-231."
Munoz.Pedreros_1997_rchn_p101-108,Munoz.Pedreros,1997,rchn,p101-108,na,"Muñoz-Pedreros, A., E. Ruiz, C. Poblete, and M. Santelices. 1997. Aspectos de la biología reproductiva de lumbrícidos silvestres (O ligochaeta: Lumbricidae) en el sur de Chile. Revista Chilena de Historia Natural 70:101-108."
Muthukaruppan_2005_jss_p82-86,Muthukaruppan,2005,jss,p82-86,10.1065/jss2004.09.111,"Muthukaruppan, G., S. Janardhanan, and G. Vijayalakshmi. 2005. Sublethal Toxicity of the Herbicide Butachlor on the Earthworm Perionyx sansibaricus and its Histological Changes (5 pp). Journal of Soils and Sediments 5:82-86."
Muyima_1994_sbb_p973-976,Muyima,1994,sbb,p973-976,10.1016/0038-0717(94)90111-2,"Muyima, N. Y. O., A. J. Reinecke, and S. A. Viljoen-Reinecke. 1994. Moisture requirements of Dendrobaena veneta (oligochaeta), a candidate for vermicomposting. Soil Biology & Biochemistry 26:973-976."
Nair_1998_jae_p459-466,Nair,1998,jae,p459-466,10.1006/jare.1998.0441,"Nair, G. A. and S. A. Bennour. 1998. Cocoons and hatchlings of Aporrectodea caliginosa (Savigny 1826) (Oligochaeta: Lumbricidae) in Benghazi, Libya. Journal of Arid Environments 40:459-466."
Nakumura_1985_eda_p31-33,Nakumura,1985,eda,p31-33,na,"Nakamura, Y. 1985. Growth of three species of earthworms (Lumbricidae) in laboratory cultures. Edaphologia 34:31-33."
Nath_2014_te_p305-312,Nath,2014,te,p305-312,na,"Nath, S. and P. S. Chaudhuri. 2014. Growth and reproduction of Pontoscolex corethrurus (Muller) with different experimental diets. Tropical Ecology 55:305-312."
Neuhauser_1979_rebs_p252-534,Neuhauser,1979,rebs,p252-534,na,"Neuhauser, E. F., D. L. Kaplan, and R. Hartenstein. 1979. Life history of the earthworm Eudrilus eugeniae. Revue d'écologie et de biologie du sol 16:525-534."
Neuhauser_1980_oik_p93-98,Neuhauser,1980,oik,p93-98,10.2307/3544730,"Neuhauser, E. F., R. Hartenstein, and D. L. Kaplan. 1980. Growth of the earthworm Eisenia foetida in relation to population density and food rationing Oikos 35:93-98."
Neuhauser_1984_sbb_p521-523,Neuhauser,1984,sbb,p521-523,10.1016/0038-0717(84)90062-2,"Neuhauser, E. F., J. A. Meyer, M. R. Malecki, and J. M. Thomas. 1984. Dietary cobalt supplements and the growth and reproduction of the earthworm Eisenia foetida. Soil Biology & Biochemistry 16:521-523."
Neuhauser_1988_in_ewem_p9-20,Neuhauser,1988,in_ewem,p9-20,na,"Neuhauser, E. F., R. Loehr, and M. R. Malecki. 1988. The potential of earthworms for managing sewage sludge. Pages 9-20 in C. A. Edwards, editor. Earthworms in waste and environmental management. SPB Academic Publishing, The Hague, The Netherlands."
Neuhauser_1990_sbb_p175-179,Neuhauser,1990,sbb,p175-179,10.1016/0038-0717(90)90083-c,"Neuhauser, E. F. and C. A. Callahan. 1990. Growth and reproduction of the earthworm Eisenia fetida exposed to sublethal concentrations of organic chemicals. Soil Biology & Biochemistry 22:175-179."
Ortiz.Ceballos_2005_pedo_p89-98,Ortiz.Ceballos,2005,pedo,p89-98,10.1016/j.pedobi.2004.08.006,"Ortiz-Ceballos, A. I., C. Fragoso, M. Equihua, and G. G. Brown. 2005. Influence of food quality, soil moisture and the earthworm Pontoscolex corethrurus on growth and reproduction of the tropical earthworm Balanteodrilus pearsei. Pedobiologia 49:89-98."
Padhan_2010_ijrras_p76-85,Padhan,2010,ijrras,p76-85,na,"Padhan, A. and S. K. Sahu. 2010. Effect of rice mill wastewater on growth, reproduction and metabolism of Drawida willsi (oligochaeta) under laboratory conditions. International Journal of Research and Revies in Applied Sciences 5:76-85."
Panda_1999_sbb_p363-366,Panda,1999,sbb,p363-366,10.1016/s0038-0717(98)00135-7,"Panda, S. and S. K. Sahu. 1999. Effects of malathion on the growth and reproduction of Drawida willsi (Oligochaeta) under laboratory conditions. Soil Biology & Biochemistry 31:363-366."
Parthasarathi_2007_jeb_p803-812,Parthasarathi,2007,jeb,p803-812,na,"Parthasarathi, K. 2007. Life cycle of Lampito mauritii (Kinberg) in comparison with Eudrilus eugeniae (Kinberg) cultured on different substrates. Journal of Environmental Biology 28:803-812."
Persson_2007_in_bdefo_p34,Persson,2007,in_bdefo,p34,na,"Perrson, T., L. Lenoir, and A. Taylor. 2007. Bioturbation in different ecosystems at Forsmark and Oskarshamn. Swedish Unversity of Agricultural Sciences."
Phillipson_1977_pedo_p70-82,Phillipson,1977,pedo,p70-82,na,"Phillipson, J. and P. J. Bolton. 1977. Growth and cocoon production by Allolobophora rosea (Oligochaeta: Lumbricidae). Pedobiologia 17:70-82."
Presley_1996_cbp_p319-326,Presley,1996,cbp,p319-326,10.1016/0300-9629(96)00017-5,"Presley, M. L., T. C. McElroy, and W. J. Diehl. 1996. Soil moisture and temperature interact to affect growth, survivorship, fecundity, and fitness in the earthworm Eisenia fetida. Comparative Biochemistry and Physiology Part A: Physiology 114:319-326."
Reeh_1992_sbb_p1327-1331,Reeh,1992,sbb,p1327-1331,10.1016/0038-0717(92)90113-c,"Reeh, U. 1992. Influence of population densities on growth and reproduction of the earthworm Eisenia andrei on pig manure. Soil Biology & Biochemistry 24:1327-1331."
Reinecke_1985_rebs_p473-481,Reinecke,1985,rebs,p473-481,na,"Reinecke, A. J. and J. M. Venter. 1985. The influence of moisture on the growth and reproduction of the compost worm Eisenia fetida (Oligochaeta). Revue d'écologie et de biologie du sol 22:473-481."
Reinecke_1987_bfs_p135-141,Reinecke,1987,bfs,p135-141,10.1007/bf00260595,"Reinecke, A. J. and J. M. Venter. 1987. Moisture preferences, growth and reproduction of the compost worm Eisenia fetida (Oligochaeta). Biology and Fertility of Soils 3:135-141."
Reinecke_1989_bfs_p303-306,Reinecke,1989,bfs,p303-306,10.1007/BF00263159,"Reinecke, A. J. and L. Hallatt. 1989. Growth and cocoon production of Perionyx excavatus (Oligochaeta). Biology and Fertility of Soils 8:303-306."
Reinecke_1990_bfs_p184-187,Reinecke,1990,bfs,p184-187,10.1007/BF00336133,"Reinecke, A. J. and S. A. Viljoen. 1990. The influence of feeding patterns on growth and reproduction of the vermicomposting earthworm Eisenia fetida (Oligochaeta). Biology and Fertility of Soils 10:184-187."
Reinecke_1991_bfs_p295-300,Reinecke,1991,bfs,p295-300,10.1007/BF00335851,"Reinecke, A. J. and S. A. Viljoen. 1991. A comparison of the biology of Eisenia fetida and Eisenia andrei (Oligochaeta). Biology and Fertility of Soils 11:295-300."
Reinecke_1992_sbb_p1295-1307,Reinecke,1992,sbb,p1295-1307,10.1016/0038-0717(92)90109-b,"Reinecke, A. J., S. A. Viljoen, and R. J. Saayman. 1992. The suitability of Eudrilus eugeniae, perionyx excavatus and Eisenia fetida (Oligochaeta) for vermicomposting in southern africa in terms of their temperature requirements. Soil Biology and Biochemistry 24:1295-1307."
Reinecke_1994_ejsb_p29-33,Reinecke,1994,ejsb,p29-33,na,"Reinecke, A. J. and S. A. Reinecke. 1994. Influence of worm density on growth and cocoon production of the asiatic earthworm Perionyx excavatus (Oligochaeta, Megascolecidae). European Journal of Soil Biology 30:29-33."
Reinecke_1996_pedo_p439-448,Reinecke,1996,pedo,p439-448,na,"Reinecke, A. J. and S. A. Reinecke. 1996. The influence of heavy metals on the growth and reproduction of the compost worm Eisenia fetida (Oligochaeta). Pedobiologia 40:439-448."
Roobak.Kumar_2011_jbr_p30-34,Roobak.Kumar,2011,jbr,p30-34,na,"Roobak Kumar, A., K. Perumalsamy, C. Sundaravadivelan, and L. Isaiarasu 2011. Comparative Biology and composting ability of three Earthworm species. Journal of Biosciences Research 2:30-34."
Rozen_2006_sbb_p489-503,Rozen,2006,sbb,p489-503,10.1016/j.soilbio.2005.06.003,"Rozen, A. 2006. Effect of cadmium on life-history parameters in Dendrobaena octaedra (Lumbricidae: Oligochaeta) populations originating from forests differently polluted with heavy metals. Soil Biology & Biochemistry 38:489-503."
Shagoti_2001_jeb_p213-217,Shagoti,2001,jeb,p213-217,na,"Shagoti, U. M., S. D. Amoji, V. A. Biradar, and P. M. Biradar. 2001. Effect of temperature on growth and reproduction of the epigeic earthworm, Eudrilus eugeniae (Kinberg). Journal of Environmental Biology 22:213-217."
Siddique_2005_pjz_p211-214,Siddique,2005,pjz,p211-214,na,"Siddique, J., A. Amir Khan, I. Hussain, and S. Akhter. 2005. Growth and Reproduction of Earthworm (Eisenia fetida) in Different Organic Media. Pakistan Journal of Zoology 37:211-214."
Springett_1992_sbb_p1739-1744,Springett,1992,sbb,p1739-1744,10.1016/0038-0717(92)90180-6,"Springett, J. A. and J. A. Gray. 1992. Effect of repeated low doses of biocides on the earthworm Aporrectodea caliginosa in laboratory culture. Soil Biology & Biochemistry 24:1739-1744."
Spurgeon_1996_ees_p86-95,Spurgeon,1996,ees,p86-95,10.1006/eesa.1996.0085,"Spurgeon, D. J. and S. P. Hopkin. 1996. Effects of Metal-Contaminated Soils on the Growth, exual Development, and Early Cocoon Production of the Earthworm Eisenia fetida, with Particular Reference to Zinc. Ecotoxicology and Environmental Safety 35:86-95."
Spurgeon_1999_ecot_p133-141,Spurgeon,1999,ecot,p133-141,10.1023/a:1008970803731,"Spurgeon, D. J. and S. P. Hopkin. 1999. Life-history patterns in reference and metal-exposed earthworm populations. Ecotoxicology 8:133-141."
Spurgeon_2004_ees_p54-64,Spurgeon,2004,ees,p54-64,10.1016/j.ecoenv.2003.08.003,"Spurgeon, D. J., C. Svendsen, P. Kille, A. J. Morgan, and J. M. Weeks. 2004. Responses of earthworms (Lumbricus rubellus) to copper and cadmium as determined by measurement of juvenile traits in a specifically designed test system. Ecotoxicology and Environmental Safety 57:54-64."
Suthar_2009_envir_p78-84,Suthar,2009,envir,p78-84,10.1016/j.biortech.2009.07.004,"Suthar, S. 2009. Growth and fecundity of earthworms: Perionyx excavatus and Perionyx sansibaricus in cattle waste solids. Environmentalist 29:78-84."
Suthar_2011_ee_p644-647,Suthar,2011,ee,p644-647,10.1016/j.ecoleng.2010.11.005,"Suthar, S. 2011. Production of earthworm Allolobophora parva (Eisen) in cattle dung. Ecological Engineering 37:644-647."
Svendsen_2002_ajar_p447-451,Svendsen,2002,ajar,p447-451,na,"Svendsen, T. S. and G. H. Baker. 2002. Survival and growth of Aporrectodea longa (Lumbricidae) fed on sheep and cow dung with and without moxidectin residues. Australian Journal of Agricultural Research 53:447-451."
Tondoh_1997_ejsb_p13-18,Tondoh,1997,ejsb,p13-18,na,"Tondoh, E. J. and P. Lavelle. 1997. Effect of two organic residues on growth and cocoon production of the earthworm Hyperiodrilus africanus (Eudrilidae). European Journal of Soil Biology 33:13-18."
Tondoh_1998_bfs_p336-340,Tondoh,1998,bfs,p336-340,10.1007/s003740050385_,"Tondoh, E. J. 1998. Effect of coffee residues on growth and reproduction of Hyperiodrilus africanus (Oligochaeta, Eudrilidae) in Ivory Coast. Biology and Fertility of Soils 26:336-340."
Tripathi_2004_bt_p275-283,Tripathi,2004,bt,p275-283,10.1016/j.biortech.2003.09.005,"Tripathi, G. and P. Bhardwaj. 2004. Comparative studies on biomass production, life cycles and composting efficiency of Eisenia fetida (Savigny) and Lampito mauritii (Kinberg). Bioresource Technology 92:275-283."
Tsukamoto_1977_pedo_p338-342,Tsukamoto,1977,pedo,p338-342,na,"Tsukamoto, J. and H. Watanabe. 1977. Influence of temperature on hatchling and growth of Eisenia foetida (Oligochaeta, Lumbricidae). Pedobiologia 17:338-342."
Valle_1998_ase_p111-114,Valle,1998,ase,p111-114,10.1016/s0929-1393(98)00064-x,"Valle, J. V., R. P. Moro, M. H. Garvin, and D. J. D. Cozin. 1998. Growth in the laboratory of Hormogaster elisae (Oligochaeta, Hormogastridae). Applied Soil Ecology 9:111-114."
Van.Gestel_1991_bfs_p117-121,Van.Gestel,1991,bfs,p117-121,10.1007/bf00341486,"van Gestel, C. A. M., W. A. van Dis, E. M. Dirven-van Breemen, P. M. Sparenburg, and R. Baerselman. 1991. Influence of cadmium, copper, and pentachlorophenol on growth and sexual development of Eisenia andrei (Oligochaeta; Annelida). Biology and Fertility of Soils 12:117:121."
Venter_1985_bect_p652-659,Venter,1985,bect,p652-659,10.1007/bf01636569,"Venter, J. M. and A. J. Reinecke. 1985. Dieldrin and growth and development of the earthworm, Eisenia fetida (Oligochaeta). Bulletin of Environmental Contamination and Toxicology 35:652-659."
Venter_1988_in_ewem_p337-353,Venter,1988,in_ewem,p337-353,na,"Venter, J. M. and A. J. Reinecke. 1988. Sublethal ecotixocological effects of dieldrin on the earthworm Eisenia foetida (Oligochaeta). Pages 337-353 in C. A. Edwards, editor. Earthworms in waste and environmental management. SPB Academic Publishing, The Hague, The Netherlands."
Venter_1988_sajz_p161-165,Venter,1988,sajz,p161-165,10.1080/02541858.1988.11448096,"Venter, J. M. and A. J. Reinecke. 1988. The life-cycle of the compost worm Eisenia fetida (Oligochaeta). South African Journal of Zoology 23:161-165."
Vercesi_2006_ase_p180-187,Vercesi,2006,ase,p180-187,10.1016/j.apsoil.2005.07.002,"Vercesi, M. L., P. H. Krogh, and M. Holmstrup. 2006. Can Bacillus thuringiensis (Bt) corn residues and Bt-corn plants affect life-history traits in the earthworm Aporrectodea caliginosa? Applied Soil Ecology 32:180-187."
Vermeulen_2001_ees_p183-189,Vermeulen,2001,ees,p183-189,10.1006/eesa.2000.2008,"Vermeulen, L. A., A. J. Reinecke, and S. A. Reinecke. 2001. Evaluation of the Fungicide Manganese-Zinc Ethylene Bis(dithiocarbamate) (Mancozeb) for Sublethal and Acute Toxicity to Eisenia fetida (Oligochaeta). Ecotoxicology and Environmental Safety 48:183-189."
Viljoen_1988_rebs_p225-236,Viljoen,1988,rebs,p225-236,na,"Viljoen, S. A. and A. J. Reinecke. 1988. The number, size and growth of hatchlings of the African nightcrawler, Eudrilus eugeniae (Oligochaeta). Revue d'écologie et de biologie du sol 25:225-236."
Viljoen_1989_rebs_p291-303,Viljoen,1989,rebs,p291-303,na,"Viljoen, S. A. and A. J. Reinecke. 1989. Moisture and growth, maturation and cocoon production of Eudrilus eugeniae (Oligochaeta). Revue d'écologie et de biologie du sol 26:291-303."
Viljoen_1989_sajz_p27-32,Viljoen,1989,sajz,p27-32,na,"Viljoen, S. A. and A. J. Reinecke. 1989. Life-cycle of the African nightcrawler, Eudrilus eugeniae (Oligochaeta). South African Journal of Zoology 24:27-32."
Viljoen_1992_sbb_p1341-1344,Viljoen,1992,sbb,p1341-1344,10.1016/0038-0717(92)90115-e,"Viljoen, S. A., A. J. Reinecke, and L. Hartman. 1992. The influence of temperature on the life-cycle of Dendrobaena veneta (Oligochaeta). Soil Biology & Biochemistry 24:1341-1344."
Viljoen_1992_sbb_p1345-1350,Viljoen,1992,sbb,p1345-1350,10.1016/0038-0717(92)90116-f,"Viljoen, S. A. and A. J. Reinecke. 1992. The temperature requirements of the epigeic earthworm species Eudrilus eugeniae (oligochaeta) — a laboratory study. Soil Biology and Biochemistry 24:1345-1350."
Vorsters_1997_trop_p89-90,Vorsters,1997,trop,p89-90,na,"Vorsters, A., F. Demey, and J. Hardouin. 1997. Influence of Worm Density on the Growth f Eudrilus eugeniae. Tropicultura 15:89-90."
West_2003_pedo_p535-541,West,2003,pedo,p535-541,10.1078/0031-4056-00225,"West, H. K., A. J. Morgan, D. W. Bowker, M. S. Davies, and R. J. Herbert. 2003. Evidence for interpopulation differences in life history parameters of Lumbricus rubellus. Pedobiologia 47:535-541."
Widarto_2004_ees_p147-159,Widarto,2004,ees,p147-159,10.1016/j.ecoenv.2004.03.006,"Widarto, T. H., M. Holmstrup, and V. E. Forbes. 2004. The influence of nonylphenol on life-history of the earthworm Dendrobaena octaedra Savigny: linking effects from the individual- to the population-level. Ecotoxicology and Environmental Safety 58:147-159."
Satchell_1967_in_soil.biology_p259-322,Satchell,1967,in_soil.biology,p259-322,10.1016/B978-0-12-395699-6.50013-4,"Satchell, J. E. 1967. Chapter 9 - Lumbricidae A2 - BURGES, A. Pages 259-322 in F. Raw, editor. Soil Biology. Academic Press."
Hartenstein_1982_mega_p185-187,Hartenstein,1982,mega,p185-187,na,"Hartenstein, R., E. F. Neuhauser, and E. G. Easton. 1982. Growth and fecundity of F2 Eisenia foetida derived from F1S, both reared in isolation from birth. Megadrilogica 3:185-187."
Suthar_2008_ijewm_p584-600,Suthar,2008,ijewm,p584-600,10.1504/ijewm.2008.021862,"Suthar, S. and S. Ram. 2008. Does substrate quality affect earthworm growth and reproduction patterns in vermicomposting systems? A study using three popular composting earthworms International Journal of Environment and Waste Management 2:584-600."
Arunachalam_1978_jbnhs_p110-114,Arunachalam,1978,jbnhs,p110-114,na,"Arunachalam, S. 1978. Some aspects of the biology of a tropical earthworm Pontoscolex corethrurus (O.F. Müller). The journal of the Bombay Natural History Society 75:110-114."
Lakhani_1970_jae_p473-492,Lakhani,1970,jae,p473-492,10.2307/2983,"Lakhani, K. H. and J. E. Satchell. 1970. Production by Lumbricus terrestris (L.). Journal of Animal Ecology 39:473-492."
Tiunov_2004_oeco_p83-90,Tiunov,2004,oeco,p83-90,10.1007/s00442-003-1391-4,"Tiunov, A. V. and S. Scheu. 2004. Carbon availability controls the growth of detritivores (Lumbricidae) and their effect on nitrogen mineralization. Oecologia 138:83-90."
Valle_na_unpublished_na,Valle,na,unpublished,na,na,"Valle, J. V., R. P. Moro, M. H. Garvin, D. Trigo, and D. J. Diaz Cosin. na. Annual Study of a Population of Hormogaster elisae (Oligochaeta, Hormogasteridae). na."
Reinecke_1997_sajz_p72-75,Reinecke,1997,sajz,p72-75,10.1080/02541858.1997.11448433,"Reinecke, A. J., M. S. Maboeta, and S. A. Reinecke. 1997. Stimulating effects of low lead concentrations on growth and cocoon production of Eisenia fetida (Oligochaeta). South African Journal of Zoology 32:72-75."
Neuhauser_1980_aw_p43-60,Neuhauser,1980,aw,p43-60,na,"Neuhauser, E. F., D. L. Kaplan, M. R. Malecki, and R. Hartenstein. 1980. Materials supporting weight gain by the earthworm Eisenia foetida in waste conversion systems. Agricultural Wastes 2:43-60."
Viljoen_1991_sajz_p43-48,Viljoen,1991,sajz,p43-48,10.1080/02541858.1991.11448229,"Viljoen, S. A., A. J. Reinecke, and L. Hartman. 1991. Life-cycle of the European compost worm Dendrobaena veneta (Oligochaeta). South African Journal of Zoology 26:43-48."
